delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost,delivery_time_hours_num,expected_time_hours_num,zero_hour_flag,is_delayed_flag,delayed_original_binary,computed_delayed
250.99,delhivery,automobile parts,bike,same day,west,clear,297.0,46.96,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000008,no,delivered,3,1632.7206,8.0,8,0,0,0,0
250.99,xpressbees,cosmetics,ev van,express,central,cold,89.6,47.39,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,no,delivered,5,640.17,2.0,3,0,0,0,0
250.99,shadowfax,groceries,truck,two day,east,rainy,273.5,26.89,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000016,no,delivered,4,1448.17,10.0,16,0,0,0,0
250.99,dhl,electronics,ev van,same day,east,cold,269.7,12.69,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000008,no,delivered,3,1486.57,6.0,8,0,0,0,0
250.99,dhl,clothing,van,two day,north,foggy,256.7,37.02,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000016,no,delivered,4,1394.56,9.0,16,0,0,0,0
250.99,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000002,yes,delayed,3,391.45,4.0,2,0,1,1,1
250.99,delhivery,groceries,scooter,same day,central,clear,198.3,43.79,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000008,no,delivered,3,1222.87,6.0,8,0,0,0,0
250.99,xpressbees,fragile items,van,same day,north,cold,114.6,42.63,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000008,no,delivered,3,800.89,4.0,8,0,0,0,0
250.99,blue dart,clothing,van,same day,south,hot,142.4,14.06,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000008,no,delivered,5,854.18,5.0,8,0,0,0,0
250.99,delhivery,pharmacy,truck,same day,east,foggy,47.1,29.28,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000008,no,delivered,5,423.34,3.0,8,0,0,0,0
250.99,fedex,groceries,scooter,same day,east,cold,293.2,22.05,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000008,no,delivered,4,1632.15,5.0,8,0,0,0,0
250.99,ecom express,electronics,truck,two day,east,cold,80.4,46.48,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000016,no,delivered,5,541.44,3.0,16,0,0,0,0
250.99,xpressbees,pharmacy,ev van,two day,north,rainy,257.7,20.56,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000016,no,delivered,4,1350.18,8.0,16,0,0,0,0
250.99,xpressbees,cosmetics,bike,express,east,stormy,19.0,3.36,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000002,yes,failed,1,155.08,6.0,2,0,0,1,1
250.99,xpressbees,automobile parts,ev bike,two day,east,stormy,237.9,24.59,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000016,no,delivered,3,1263.27,12.0,16,0,0,0,0
